,Unnamed: 0,UnixTime,latency,provider,model,responseBody,payloadSize,failure
0,0,1705110580.1410637,4.692487478256226,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': '\n\nYemen\'s Houthi rebels have fired a missile at a shadow vessel carrying sanctioned Russian oil, according to a report from the United Nations. The attack comes hours after Russia condemned U.S. strikes on the Houthis in Yemen, calling them ""a serious blow to the political process"" and ""a violation of international law."" The Houthis have been fighting against the government of Yemen for years, and the conflict has become a major source of instability in the region. The shadow vessel was reportedly carrying oil from Russia to the Houthis, who have been under U.N. sanctions for their role in the', 'completionReason': 'LENGTH'}]}",small,False
1,1,1705110589.8352685,4.142492055892944,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': ' The Houthis fired a missile at a shadow vessel carrying sanctioned Russian oil, the United Arab Emirates\' state-run news agency WAM reported, citing the Houthi-run Al-Masirah television.\n\nThe attack occurred in the Red Sea near the port of Hodeidah, which is controlled by the Houthis. The vessel was reportedly carrying oil from Russia and was targeted by the Houthis as part of their ongoing campaign against Saudi Arabia and its allies.\n\nThe attack comes just hours after Russia condemned U.S. strikes on the Houthis in Yemen, calling them ""unjust', 'completionReason': 'LENGTH'}]}",small,False
2,2,1705110598.982385,1.9097576141357424,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 35, 'outputText': ' The Houthis just fired a missile at a shadow vessel carrying sanctioned Russian oil.\n\nThis is a developing story and more information will be added as it becomes available.', 'completionReason': 'FINISH'}]}",small,False
3,3,1705110605.8985355,4.381315231323242,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': "" The Yemeni Houthi movement, in control of the country's capital, Sanaa, has repeatedly attacked shipping lanes in the Red Sea, causing significant disruptions to global oil supplies. The latest incident occurred on Sunday when a Houthi missile hit a shadow vessel carrying sanctioned Russian oil, according to the United Nations.\n\nThe vessel was owned by the Russian state-owned company, Rosneft, and was en route to Syria when it was targeted. The attack caused a significant fire, but the crew was able to safely abandon the ship.\n\nThe United Nations has condemned the attack and called for an immediate investigation"", 'completionReason': 'LENGTH'}]}",small,False
4,4,1705110615.2934074,3.7602016925811768,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 99, 'outputText': '\n\nThe Houthis just fired a missile at a shadow vessel carrying sanctioned Russian oil.\nHours after Russia condemned U.S. strikes on the Houthis.\n\nThe Houthis just fired a missile at a shadow vessel carrying sanctioned Russian oil.\nHours after Russia condemned U.S. strikes on the Houthis.\n\nSorry, but it is difficult to understand your query based on the provided content. Could you please rephrase your statement and try again?', 'completionReason': 'FINISH'}]}",small,False
5,5,1705110624.0622406,4.103145360946655,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': ' The Houthis claimed responsibility for the attack on a ship carrying Russian oil in the Red Sea on Sunday.\n\nThe Houthis have long targeted ships carrying Russian oil, but this is the first time they have hit a shadow vessel, which is a ship that is not directly owned or operated by a country but is used to carry goods.\n\nThe attack on the shadow vessel comes as tensions between the United States and Iran continue to rise. The United States has accused the Houthis of being a proxy force for Iran and has been supporting Saudi Arabia in its campaign against the Houthis in Yemen.\n\nRussia has', 'completionReason': 'LENGTH'}]}",small,False
6,6,1705110633.1804483,4.56301736831665,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': '\n\nThe Houthis are a group of Shia Muslims who control parts of Yemen and have been fighting a civil war with the government there for years. The United Nations has imposed sanctions on the Houthis, and the United States has been supporting the government in Yemen against the Houthis.\n\nThe missile attack on the shadow vessel was a significant development in the ongoing conflict, and it is likely to further escalate tensions between the Houthis and the government. The United States has already been providing military support to the government in Yemen, and the missile attack may lead to more U.S. involvement in the conflict.', 'completionReason': 'LENGTH'}]}",small,False
7,7,1705110642.7546933,4.164129018783569,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': '\n\nA Houthi missile attack on a shadow vessel carrying sanctioned Russian oil in the Red Sea has been thwarted by Saudi Arabia, according to a statement from the Saudi-led coalition fighting in Yemen. The coalition said the missile was fired from Yemen and intercepted by Saudi air defenses before it could cause any damage. The incident comes hours after Russia condemned U.S. strikes on the Houthis in Yemen, which Moscow says are aimed at supporting al-Qaeda and other terrorist groups. The United States has accused the Houthis of being a threat to regional security and has supported the Saudi-led coalition in its fight against', 'completionReason': 'LENGTH'}]}",small,False
8,8,1705110651.933975,4.192715406417847,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': ' The missile attack was launched early on Friday at a shadow vessel carrying sanctioned Russian oil, the Houthi-controlled Al-Masirah television network reported. The vessel was in the Red Sea, off the coast of Yemen, when it was attacked, according to Al-Masirah.\n\nThe missile attack came hours after Russia condemned U.S. strikes on the Houthis, saying they violated international law and threatened regional stability. The United States has been backing the Saudi-led coalition in its fight against the Houthis, who control parts of Yemen and have been accused of attacking Saudi territory and shipping.\n\n', 'completionReason': 'LENGTH'}]}",small,False
9,9,1705110661.1349587,4.250845909118652,amazon,amazon.titan-text-express-v1,"{'inputTextTokenCount': 33, 'results': [{'tokenCount': 128, 'outputText': "" The Houthis just fired a missile at a shadow vessel carrying sanctioned Russian oil.\n\nThe United States has repeatedly accused the Houthis of smuggling Russian oil into Yemen through vessels that have evaded international sanctions. The U.S. has also accused the Houthis of using the proceeds of the oil sales to finance their attacks on Yemen's government and its allies.\n\nThe Houthis have denied the accusations, and have said that they are using the oil sales to help alleviate the suffering of Yemenis who have been hit by the country's civil war.\n\nThe latest incident occurred on Sunday, when the H"", 'completionReason': 'LENGTH'}]}",small,False
